datetime,close,percent_b
2025-09-04,238.09,-0.115688
2025-09-03,238.47,-0.262651
2025-09-02,229.72,-0.337347
2025-08-29,232.14,-0.133995
2025-08-28,232.56,-0.044122
2025-08-27,230.49,0.13187
2025-08-26,229.31,0.200485
2025-08-25,227.16,0.275074
2025-08-22,227.76,0.354187
2025-08-21,224.9,0.365621
2025-08-20,226.01,0.375765
2025-08-19,230.56,0.397815
2025-08-18,230.89,0.41993
2025-08-15,231.59,0.391876
2025-08-14,232.78,0.378499
2025-08-13,233.33,0.36717
2025-08-12,229.65,0.390786
2025-08-11,227.18,0.375169
2025-08-08,229.35,0.375412
2025-08-07,220.03,0.530773
2025-08-06,213.25,0.646485
2025-08-05,202.92,0.568271
2025-08-04,203.35,0.461288
2025-08-01,202.38,0.419874
2025-07-31,207.57,0.764428
2025-07-30,209.05,0.608366
2025-07-29,211.27,0.0181043
2025-07-28,214.05,-0.135937
2025-07-25,213.88,-0.249148
2025-07-24,213.76,-0.103671
2025-07-23,214.15,0.0162199
2025-07-22,214.4,0.0167177
2025-07-21,212.48,0.128286
2025-07-18,211.18,0.143019
2025-07-17,210.02,-0.00590263
2025-07-16,210.16,0.0285816
2025-07-15,209.11,0.190109
2025-07-14,208.62,0.146879
2025-07-11,211.16,0.285121
2025-07-10,212.41,0.289923
2025-07-09,211.14,0.47534
2025-07-08,210.01,0.438582
2025-07-07,209.95,0.575699
2025-07-03,213.55,0.428435
2025-07-02,212.44,0.591652
2025-07-01,207.82,0.698498
2025-06-30,205.17,0.60623
2025-06-27,201.08,0.545904
2025-06-26,201,0.451178
2025-06-25,201.56,0.507262
2025-06-24,200.3,0.491151
2025-06-23,201.5,0.0155457
2025-06-20,201,0.635447
2025-06-18,196.58,0.701522
2025-06-17,195.64,1.06747
2025-06-16,198.42,1.11698
2025-06-13,196.45,1.13735
2025-06-12,199.2,1.0501
2025-06-11,198.78,1.00884
2025-06-10,202.67,0.967197
2025-06-09,201.45,0.819798
2025-06-06,203.92,0.219022
2025-06-05,200.63,0.196341
2025-06-04,202.82,0.162186
2025-06-03,203.27,0.278537
2025-06-02,201.7,0.30808
2025-05-30,200.85,0.581459
2025-05-29,199.95,0.878352
2025-05-28,200.42,0.809605
2025-05-27,200.21,0.734109
2025-05-23,195.27,0.673112
2025-05-22,201.36,0.619721
2025-05-21,202.09,0.567318
2025-05-20,206.86,0.397134
2025-05-19,208.78,0.210137
2025-05-16,211.26,0.0180567
2025-05-15,211.45,0.197458
2025-05-14,212.33,0.14059
2025-05-13,212.93,0.440824
2025-05-12,210.79,0.473129
2025-05-09,198.53,0.321349
2025-05-08,197.49,0.0606363
2025-05-07,196.25,0.372677
2025-05-06,198.51,-0.274547
2025-05-05,198.89,0.0396925
2025-05-02,205.35,0.231144
2025-05-01,213.32,0.587015
2025-04-30,212.5,1.02416
2025-04-29,211.21,0.964438
2025-04-28,210.14,0.908227
2025-04-25,209.28,0.809228
2025-04-24,208.37,0.885144
2025-04-23,204.6,0.819017
2025-04-22,199.74,0.825262
2025-04-21,193.16,0.752072
2025-04-17,196.98,0.692597
2025-04-16,194.27,0.612822
2025-04-15,202.14,0.615704
2025-04-14,202.52,0.565934
2025-04-11,198.15,0.578021
2025-04-10,190.42,0.557949
2025-04-09,198.85,0.478317
2025-04-08,172.42,0.589963
2025-04-07,181.46,0.647493
2025-04-04,188.38,0.817512
2025-04-03,203.19,1.18558
2025-04-02,223.89,1.0121
2025-04-01,223.19,0.960705
2025-03-31,222.13,0.913662
2025-03-28,217.9,0.917703
2025-03-27,223.85,0.948922
2025-03-26,221.53,0.805515
2025-03-25,223.75,0.83952
2025-03-24,220.73,0.928646
2025-03-21,218.27,0.87949
2025-03-20,214.1,0.812974
2025-03-19,215.24,0.78827
2025-03-18,212.69,0.744543
2025-03-17,214,0.715534
2025-03-14,213.49,0.69838
2025-03-13,209.68,0.61119
2025-03-12,216.98,0.454694
2025-03-11,220.84,0.254556
2025-03-10,227.48,-0.00947239
2025-03-07,239.07,-0.0120217
2025-03-06,235.33,0.249289
2025-03-05,235.74,0.229387
2025-03-04,235.93,0.253635
2025-03-03,238.03,0.102567
2025-02-28,241.84,0.409735
2025-02-27,237.3,0.477713
2025-02-26,240.36,0.541157
2025-02-25,247.04,0.5033
2025-02-24,247.1,0.211455
2025-02-21,245.55,0.00913225
2025-02-20,245.83,0.0910093
2025-02-19,244.87,0.133632
2025-02-18,244.47,0.127193
2025-02-14,244.6,0.416842
2025-02-13,241.53,0.366998
2025-02-12,236.87,0.818631
2025-02-11,232.62,0.615036
2025-02-10,227.65,0.663249
2025-02-07,227.63,0.753778
2025-02-06,233.22,0.954061
2025-02-05,232.47,0.886859
2025-02-04,232.8,0.934916
2025-02-03,228.01,0.837195
2025-01-31,236,0.817957
2025-01-30,237.59,0.968748
2025-01-29,239.36,0.956218
2025-01-28,238.26,0.977327
2025-01-27,229.86,0.982804
2025-01-24,222.78,0.906356
2025-01-23,223.66,0.812538
2025-01-22,223.83,0.770391
2025-01-21,222.64,0.645443
2025-01-17,229.98,0.582074
2025-01-16,228.26,0.709832
2025-01-15,237.87,0.620311
2025-01-14,233.28,0.508968
2025-01-13,234.4,0.475517
2025-01-10,236.85,0.38103
2025-01-08,242.7,0.400394
2025-01-07,242.21,0.331703
2025-01-06,245,0.120686
2025-01-03,243.36,0.145652
2025-01-02,243.85,0.146774
2024-12-31,250.42,0.137358
2024-12-30,252.2,0.0527932
2024-12-27,255.59,0.029719
2024-12-26,259.02,0.0101008
2024-12-24,258.2,0.059997
2024-12-23,255.27,0.025668
2024-12-20,254.49,-0.0136542
2024-12-19,249.79,0.00643596
2024-12-18,248.05,0.0818641
2024-12-17,253.48,0.109758
2024-12-16,251.04,0.134884
2024-12-13,248.13,0.0830801
2024-12-12,247.96,0.215877
2024-12-11,246.49,0.149748
2024-12-10,247.77,0.155786
2024-12-09,246.75,0.181457
2024-12-06,242.84,0.294338
2024-12-05,243.04,0.33348
2024-12-04,243.01,0.169809
2024-12-03,242.65,0.216254
2024-12-02,239.59,0.158245
2024-11-29,237.33,0.215261
2024-11-27,234.93,0.410644
2024-11-26,235.06,0.731419
2024-11-25,232.87,1.02769
2024-11-22,229.87,0.996554
2024-11-21,228.52,0.828652
2024-11-20,229,0.752226
2024-11-19,228.28,0.754547
2024-11-18,228.02,1.02271
2024-11-15,225,0.980485
2024-11-14,228.22,0.85259
2024-11-13,225.12,0.684047
2024-11-12,224.23,0.647308
2024-11-11,224.23,0.73452
2024-11-08,226.96,0.579338
2024-11-07,227.48,0.366369
2024-11-06,222.72,0.445683
2024-11-05,223.45,0.451108
2024-11-04,222.01,0.200361
2024-11-01,222.91,-0.0546979
2024-10-31,225.91,0.237662
2024-10-30,230.1,0.162579
